ID,Kerne_A,Cyto_A,K/C,KerneShort,CytoShort,KerneLong,CytoLong,KerneElong,KerneRund,CytoRund,CytoElong,KernePeri,CytoPeri,Class
153958345-153958392-001.BMP,803.5,27804.125,0.0280869174,29.832190739,181.5748861857,34.8281495345,242.0433845409,0.8565539984,0.8434031115,0.6042726202,0.7501749595,101.375,673.5,0
153960256-153960295-002.BMP,610.125,18067.875,0.0326654353,25.3198714533,171.1087655948,30.8058436015,197.570240674,0.8219178082,0.8185830108,0.5893511538,0.8660654814,85.25,597.0,0
157181281-157181308-001.BMP,990.375,79029.875,0.0123765547,33.5529006334,290.2502456388,38.3275357935,355.8033164545,0.8754254595,0.8583966059,0.7948431393,0.8157603716,111.75,1059.125,0
157181387-157181418-001.BMP,554.5,98941.0,0.0055731164,23.799254072,327.9830555649,29.8328677804,425.6195484232,0.797752809,0.7932711546,0.6954137619,0.7706014838,81.0,1264.5,0
157181525-157181540-001.BMP,636.375,99663.25,0.0063447396,25.9461887045,418.4945403622,31.2569992162,344.1932596667,0.8300921187,0.8293324619,1.0711257043,1.2158708185,87.875,1250.625,0
157181569-157181599-001.BMP,689.5,62074.25,0.0109856406,27.5662003414,242.7274242138,33.3016516107,347.0806822628,0.8277727683,0.7916128639,0.6560859155,0.6993400573,93.125,958.625,0
157181671-157181686-001.BMP,722.25,127313.75,0.0056409916,26.3463932869,414.8917099639,34.5398320783,428.7528425562,0.7627829003,0.770827545,0.8818026595,0.9676710421,92.5,1383.375,0
157181671-157181697-001.BMP,562.375,69395.875,0.0080387231,22.2463480149,323.0749408902,31.7804971641,319.4119597009,0.7,0.7089486029,0.866046933,1.0114678899,83.875,1022.125,0
157181671-157181708-001.BMP,520.75,92213.625,0.0056155013,24.4812066649,307.6736993532,26.3058928759,446.9507802879,0.9306358382,0.9581495562,0.587740765,0.688383851,77.5,1304.625,0
157183193-157183241-001.BMP,646.875,67751.75,0.009457427,24.8992483094,276.5613123844,33.6154726279,353.646716371,0.7407079646,0.7288733013,0.6897494709,0.7820270897,88.75,1016.0,0
157183193-157183279-001.BMP,704.0,54104.375,0.0128447523,26.0594283381,268.317729035,33.6154726279,336.8990946856,0.7752212389,0.793239504,0.6069358842,0.7964335116,92.125,952.75,0
157183332-157183346-001.BMP,707.0,58479.0,0.0119453925,25.1369832026,321.006939246,36.4005494464,303.1336338977,0.6905660377,0.6793814024,0.8102924729,1.0589618022,96.0,927.0,0
157183332-157183361-001.BMP,619.5,36464.375,0.016705374,26.526417563,188.0532533488,30.083217913,262.0534296665,0.8817679558,0.871571158,0.6760817251,0.7176141659,85.0,732.125,0
157183332-157183376-001.BMP,756.0,76739.0,0.0097554681,26.4457936164,309.5531567665,35.3553390593,382.231605182,0.748,0.7700552767,0.6687642756,0.8098575643,96.0,1161.0,0
157183412-157183614-001.BMP,615.125,42650.0,0.0142175713,25.0125150022,283.4467603621,31.064449134,257.4839800842,0.8051813472,0.8116077461,0.8190845362,1.1008326043,85.25,845.875,0
157183412-157183638-001.BMP,394.625,12631.25,0.0302954696,14.8052358726,123.833416145,32.8937684068,162.7912774076,0.4500924214,0.4643735262,0.6068679295,0.7606882759,76.25,458.5,0
157183722-157183783-001.BMP,507.125,21333.5,0.0232193447,20.976480129,151.6457380734,35.4682957019,209.3036072312,0.5914149444,0.5132683658,0.6200387105,0.7245252009,93.625,732.5,0
157183722-157183783-002.BMP,461.375,33941.75,0.0134108457,17.2228492935,208.4629696629,33.7342555869,250.7927431167,0.5105448155,0.5162046529,0.6870912495,0.8312161152,81.75,749.0,0
157183964-157183980-001.BMP,557.375,40440.375,0.0135952583,21.582185768,235.2386062303,32.2024843762,311.8493225903,0.6702025072,0.6843509077,0.5294630813,0.7543341902,81.75,813.0,0
157183964-157183991-001.BMP,576.625,21481.75,0.0261408649,24.5847464111,129.8868404909,28.6356421266,231.624696438,0.8585365854,0.8953436006,0.5098119961,0.5607642125,82.25,594.75,0
157184013-157184031-001.BMP,498.5,29412.0,0.0166663881,22.772403726,183.4425555326,30.8706980809,250.9123352886,0.7376705142,0.6660125006,0.594826969,0.7311021809,81.0,706.25,0
157184112-157184128-001.BMP,344.25,25096.5,0.0135314407,20.7889393669,158.0463957249,21.2132034356,233.7541443483,0.98,0.9740282517,0.5847963294,0.6761223257,62.5,632.375,0
157184850-157184870-001.BMP,496.5,63081.0,0.0078093665,24.140393963,306.9918761471,26.9258240357,320.1452795217,0.8965517241,0.8719495641,0.7836361871,0.9589142673,77.125,990.625,0
157184850-157184891-001.BMP,659.375,85638.5,0.0076406864,20.946833557,347.7812485972,39.0512483795,409.4642841568,0.5363934426,0.5505195573,0.6503499606,0.8493567377,95.75,1342.875,0
157184850-157184942-001.BMP,478.625,78906.5,0.0060291522,13.973913921,321.1397552374,42.5793377121,362.7299270807,0.3281853282,0.3361303238,0.7635827726,0.8853412174,96.25,1064.75,0
157184850-157184976-001.BMP,885.25,44555.0,0.019481627,32.3896209791,217.9952164185,36.4005494464,291.2953827303,0.8898113208,0.8506681562,0.6685584236,0.7483648192,106.5,824.625,0
157184999-157185032-001.BMP,717.5,64057.375,0.0110768257,27.8588843589,254.5977352764,33.5261092285,399.9524971794,0.8309608541,0.8127663464,0.5098734886,0.6365699354,93.0,1151.625,0
157185054-157185079-001.BMP,412.375,75453.125,0.0054356064,19.460871441,286.5256734369,26.9258240357,367.1294049787,0.7227586207,0.7242098721,0.7127693385,0.7804487179,69.75,1093.25,0
157185133-157185143-001.BMP,327.75,58102.125,0.0056092881,18.8598066717,292.6967773913,21.6333076528,315.9003007279,0.8717948718,0.8916757709,0.7413137513,0.9265479543,61.5,1024.25,0
157185164-157185177-001.BMP,463.0,76972.5,0.0059791698,24.9476975014,309.0863081545,23.769728648,429.8022801242,1.0495575221,1.0433803703,0.5305279644,0.7191360364,74.0,1293.625,0
157185164-157185196-001.BMP,336.25,46421.875,0.0071912636,22.558147675,218.7753972238,19.4164878389,322.8699428563,1.1618037135,1.1356148459,0.5669928245,0.6775960478,62.5,972.75,0
157185208-157185238-001.BMP,697.25,96872.0,0.0071462064,28.0318500172,291.4806471754,32.2490309932,450.6439836501,0.8692307692,0.8536214159,0.6073530686,0.6468091393,90.5,1381.5,0
157185309-157185360-001.BMP,614.75,95521.375,0.0063945785,23.1337054056,309.7576220629,33.2415402772,472.1207472671,0.6959276018,0.7083475205,0.5456378793,0.6560983051,87.5,1267.125,0
157185613-157185627-001.BMP,837.625,85699.5,0.0096793717,28.2061336034,303.7333730503,42.0475920833,411.5385765636,0.6708144796,0.6032224399,0.644269103,0.7380435039,104.25,1202.75,0
157222534-157222607-001.BMP,414.125,53612.125,0.0076652553,20.76,246.8958955509,25.0,329.8029714845,0.8304,0.8436485223,0.6275726545,0.7486163464,69.25,1011.25,0
157222737-157222750-001.BMP,355.875,37256.375,0.009461678,18.0838886036,236.7843913669,24.3310501212,264.6204829563,0.7432432432,0.765395478,0.6774290235,0.8948074946,66.75,830.25,0
157222737-157222750-002.BMP,709.5,39707.75,0.0175543858,29.9206156896,205.452729687,30.4138126515,284.2551670595,0.9837837838,0.9766091427,0.6257036117,0.7227757082,91.0,873.0,0
157222904-157223196-001.BMP,601.875,43060.25,0.0137848307,23.4192718734,227.757157305,34.9284983931,313.1932310891,0.6704918033,0.6281402057,0.5589358049,0.7272097054,88.75,1040.0,0
157222904-157223217-001.BMP,667.375,39748.375,0.0165127456,26.6635501471,224.1204044285,31.0161248385,303.2655601944,0.8596673597,0.88329339,0.5502794704,0.7390235947,87.75,985.25,0
157223659-157223667-001.BMP,454.625,55022.75,0.0081947821,24.352137941,256.5851821521,24.5153013443,292.4175097357,0.993344426,0.9631389817,0.8193051078,0.877461758,72.25,893.0,0
157223659-157223667-002.BMP,451.625,41316.875,0.0108125741,22.0,230.3703054807,25.0,297.1346496119,0.88,0.920042895,0.5958418276,0.775306097,72.25,1023.25,0
157223735-157223751-001.BMP,743.625,88767.375,0.0083076382,27.8810194864,317.4639543975,32.2800247831,396.7694544695,0.8637236084,0.9086494784,0.7179381559,0.8001219621,94.25,1249.5,0
157223735-157223766-001.BMP,602.875,58036.75,0.0102810173,31.0,242.9219483878,26.0,352.8540774881,1.1923076923,1.1355093055,0.5935030051,0.6884487495,84.75,1051.875,0
157223779-157224126-001.BMP,644.0,95511.5,0.0066974848,26.8299147282,323.322002621,30.4138126515,389.8435583667,0.8821621622,0.8864500182,0.8001751489,0.8293634605,88.25,1263.75,0
157224172-157224179-001.BMP,468.75,43787.875,0.0105916346,20.6036937252,224.265522072,28.6356421266,307.3499633968,0.7195121951,0.7278427276,0.5901978958,0.7296747967,75.5,880.375,0
157224244-157224258-001.BMP,585.375,69157.375,0.0083933455,23.7618336861,330.0130045527,31.0161248385,337.5351833513,0.7661122661,0.7747636159,0.7728772462,0.977714386,85.75,1116.5,0
157224297-157224304-001.BMP,572.625,66107.875,0.0085875931,25.9144257832,310.5422991712,27.5136329844,358.7659404124,0.9418758256,0.9631291867,0.6539445174,0.8655846729,82.25,1150.375,0
157224297-157224304-002.BMP,646.125,77871.875,0.0082290048,28.3884581356,341.8049188069,30.3644529014,352.2740410533,0.9349240781,0.8922688729,0.7989681513,0.9702813122,89.25,1248.625,0
157224297-157224320-001.BMP,640.25,71895.375,0.0088266972,27.4740733398,295.68330179,29.1547594742,415.769166726,0.9423529412,0.959048963,0.5295494408,0.7111717882,86.5,1258.375,0
157224297-157224320-002.BMP,528.5,79108.25,0.0066363833,25.4563231878,282.7219894477,25.6124969497,455.1856764003,0.993902439,1.0257730174,0.4861325724,0.6211135458,79.0,1245.625,0
157224297-157224336-001.BMP,799.25,77566.5,0.0101989709,31.3313494283,302.3575238249,34.4383507154,395.7334961815,0.9097807757,0.8580410676,0.6306359002,0.7640432936,100.875,1135.25,0
157224352-157224395-001.BMP,580.125,85823.25,0.0067141475,20.1949696707,288.6210627857,35.3553390593,438.2008671831,0.5712,0.5909104727,0.5690738244,0.6586501406,87.25,1369.5,0
157224412-157224429-001.BMP,443.375,110665.625,0.0039904508,22.8013692357,318.9212633722,25.6124969497,509.5144747699,0.8902439024,0.8605527182,0.542762466,0.6259317039,73.875,1541.75,0
157224458-157224483-001.BMP,600.75,66191.5,0.008994307,24.8649180763,364.1883492876,30.886890423,310.5865418849,0.8050314465,0.8017805624,0.8736692997,1.1725825178,85.5,1318.0,0
